codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
P25M1,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T16:26:21Z,2019-09-18T16:26:21Z,uuid:5da99b33-91c6-4011-b404-da09cc194233,12.10 pm,-69.915350005,18.4635384551,0,0,Área del play,10omas,0,10omas,2019-09-18T00:00:00Z,NULL,NULL,Hierbas,uuid:5da99b33-91c6-4011-b404-da09cc194233,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:53Z,2019-10-02T14:17:53Z,uuid:00fc68f2-ff88-471f-9012-502c126e3af6,2019-10-02,dgb,NULL,uuid:00fc68f2-ff88-471f-9012-502c126e3af6,solenopsissp
P25M2,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-18T16:26:21Z,2019-09-18T16:26:21Z,uuid:cb1cf13b-5c4e-4069-8263-24673c61d344,12.25 pm,-69.9152521044,18.4635130137,0,0,Área play,0,0,1a5,2019-09-18T00:00:00Z,NULL,NULL,Hierbas,uuid:cb1cf13b-5c4e-4069-8263-24673c61d344,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:53Z,2019-10-02T14:17:53Z,uuid:62e236ac-9b2c-4244-8149-8c88077e72b3,2019-10-02,dgb,NULL,uuid:62e236ac-9b2c-4244-8149-8c88077e72b3,pheidolesp
P163M1,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:09Z,2019-09-26T21:15:09Z,uuid:224a1b37-5bf1-4fbf-b0f5-82f5a465ba5e,2.29 pm,-69.9176476,18.4587693,0,78.9049987793,Calle próximo a la facultad de ciencias,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Árbol de Nin,uuid:224a1b37-5bf1-4fbf-b0f5-82f5a465ba5e,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:57Z,2019-10-02T14:17:57Z,uuid:fb13ff12-e482-4a79-9201-2ad507ebce68,2019-10-02,dgb,NULL,uuid:fb13ff12-e482-4a79-9201-2ad507ebce68,solenopsissp
P163M2,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:09Z,2019-09-26T21:15:09Z,uuid:125edd4f-7b7e-4c1f-9f8a-e881834b4b68,2.54 pm,-69.9178907275,18.4593917694,0,0,Calle frente a Banreservas del economato,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:125edd4f-7b7e-4c1f-9f8a-e881834b4b68,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:55Z,2019-10-02T14:17:55Z,uuid:f6c16c33-db50-43d0-a5b9-7b5bbeb37d02,2019-10-02,dgb,NULL,uuid:f6c16c33-db50-43d0-a5b9-7b5bbeb37d02,paratrechinasp
P148M1,p148,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:09Z,2019-09-26T21:15:09Z,uuid:4229452e-ee03-4d83-9862-57ad81211a13,3.23 pm,-69.9180201441,18.4597851666,0,0,Parque de la biblioteca,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Árbol de Nin,uuid:4229452e-ee03-4d83-9862-57ad81211a13,"eagv,dgb",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:56Z,2019-10-02T14:17:56Z,uuid:5ebecff3-7640-4105-b4d1-d42c5b9aa308,2019-10-02,dgb,NULL,uuid:5ebecff3-7640-4105-b4d1-d42c5b9aa308,pheidolesp
P147M1,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:10Z,2019-09-26T21:15:10Z,uuid:6927629f-47c8-45d2-93bd-1f85015514c8,4.00 pm,-69.9185046181,18.4604956327,0,0,NULL,no_aplica,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:6927629f-47c8-45d2-93bd-1f85015514c8,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:56Z,2019-10-02T14:17:56Z,uuid:9b14c311-f16f-4b23-b39c-c3020c3657d2,2019-10-02,dgb,NULL,uuid:9b14c311-f16f-4b23-b39c-c3020c3657d2,pheidolesp
P147M2,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:10Z,2019-09-26T21:15:10Z,uuid:47b14565-78ae-4430-b522-f93172a765a1,3.40 pm,-69.9185277522,18.4604714629,0,0,NULL,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:47b14565-78ae-4430-b522-f93172a765a1,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:56Z,2019-10-02T14:17:56Z,uuid:eaf3b2bf-1d15-43be-a368-fe1e42e07203,2019-10-02,dgb,NULL,uuid:eaf3b2bf-1d15-43be-a368-fe1e42e07203,dorymyrmexsp
P70M1,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:11Z,2019-09-26T21:15:11Z,uuid:71e3c926-0c03-4291-9a93-5660037cfce7,4.21 pm,-69.9195921,18.4616678,0,45,Calle frente al edificio de economía,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:71e3c926-0c03-4291-9a93-5660037cfce7,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:55Z,2019-10-02T14:17:55Z,uuid:1e2128c5-fbb9-4955-8f5a-0f879635ff31,2019-10-02,dgb,NULL,uuid:1e2128c5-fbb9-4955-8f5a-0f879635ff31,dorymyrmexsp
P70M2,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:11Z,2019-09-26T21:15:11Z,uuid:2f71d275-4bcf-487c-8323-bb9fa7cc91e2,4.31 pm,-69.9193609133,18.4619788881,0,0,NULL,6a9,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Palma real,uuid:2f71d275-4bcf-487c-8323-bb9fa7cc91e2,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T18:07:49Z,2019-10-02T18:07:49Z,uuid:512ed2f7-effc-4ea5-a914-1f28a75ccf2e,2019-10-02,dgb,NULL,uuid:512ed2f7-effc-4ea5-a914-1f28a75ccf2e,solenopsissp
P70M3,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:11Z,2019-09-26T21:15:11Z,uuid:6af3767d-b39e-4d2f-a8ab-5a025fdc422d,4.46 pm,-69.9192881584,18.461886344,0,0,Jardín en la calle frente al edificio de economía,6a9,no_aplica,1a5,2019-09-26T00:00:00Z,NULL,NULL,Palmas,NULL,NULL,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:002683f0-4227-47de-a35f-2769ace230a5,2019-10-02,dgb,NULL,uuid:002683f0-4227-47de-a35f-2769ace230a5,solenopsissp
P42M1,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:12Z,2019-09-26T21:15:12Z,uuid:73cef216-6e58-421c-be25-020b81c26af4,5.02 pm,-69.9190772697,18.4628429485,0,0,Parque de arte,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Hierba,uuid:73cef216-6e58-421c-be25-020b81c26af4,"eagv,dgb",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:956856ca-c4c7-4bed-9246-571c326fb4c8,2019-10-02,dgb,NULL,uuid:956856ca-c4c7-4bed-9246-571c326fb4c8,solenopsissp
P42M2,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:12Z,2019-09-26T21:15:12Z,uuid:2b809de4-0b49-46c7-a180-28f7fddfe0b3,5.17 pm,-69.9196194112,18.462867436,0,0,Helsderia bom,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:2b809de4-0b49-46c7-a180-28f7fddfe0b3,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:4b3bca7b-b32a-4d12-93d3-de7b297b0b5d,2019-10-02,dgb,NULL,uuid:4b3bca7b-b32a-4d12-93d3-de7b297b0b5d,dorymyrmexsp
